{'text': 'the LEF/TCF family One of the target genes for beta catenin/TCF encodes c MYC explaining why constitutive activation of the WNT pathway can lead to cancer particularly in the colon Most colon cancers arise from mutations in the gene encoding [E1] adenomatous polyposis coli [\\E1] APC a protein required for ubiquitin mediated degradation of beta catenin but a small percentage of colon and some other cancers harbour beta catenin stabilizing mutations Recently we discovered that transgenic mice expressing an activated beta catenin are predisposed', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C562730', 'D008949', 'C090876', 'C563250', 'D025601', 'C031511', 'D018262', 'D000238', 'C000671802', 'C407009', 'C062351', 'C111578', 'C061075', 'C000613192', 'C000645531', 'D017188', 'C048567', 'C000623798', 'C000699842', 'D018196', 'D000236', 'D017157', 'C017991', 'C538110', 'C526457', 'C018446', 'C538265', 'C055772', 'C017990', 'C011626', 'C022571', 'C018444', 'C027800', 'C000699812', 'C022570', 'C030812', 'C015651', 'C542391', 'C524259', 'C018775', 'D000235', 'C000691299', 'D044483', 'C000647324', 'C503443', 'C049300', 'C026520', 'C520193', 'C406809', 'C000662092', 'C000662061', 'D000261', 'D062788', 'C000640097', 'C538232', 'C000662013', 'C000647651', 'D018194', 'C000661085', 'C044618']}}
{'text': 'Experimental [E1] hemochromatosis [\\E1] due to MHC class I HFE deficiency immune status and iron metabolism The puzzling linkage between genetic hemochromatosis and histocompatibility loci became even more so when the gene involved HFE was identified Indeed within the well defined mainly peptide', 'mention_data': {'kb_id': 'D006432', 'candidates': ['D006432', 'C579887', 'D006486', 'C537249', 'D006491', 'C536394', 'C007955', 'C537248', 'D006410', 'C537247', 'C566557', 'D018056', 'D051516', 'D008216', 'D006431', 'D006487', 'C001332', 'D006470', 'D019337', 'D006468', 'C535858', 'D006405', 'C565801', 'C537254', 'D006391', 'C567034', 'D006402', 'D006394', 'D000747', 'C507620', 'D000080365', 'D006483', 'D018216', 'D006488', 'C563215', 'C562937', 'D020786', 'C000719204', 'D006400', 'D006384', 'D051359', 'D006474', 'D006392', 'D059165', 'C000650842', 'D057898', 'D006406', 'D030243', 'D006188', 'D010007', 'D006461', 'C003001', 'C535861', 'D002832', 'D020138', 'C101983', 'C088771', 'D006411', 'C562438', 'C000719196', 'D034061', 'C565522', 'C562995', 'C581942']}}
{'text': 'Experimental hemochromatosis due to MHC class I HFE deficiency immune status and iron metabolism The puzzling linkage between genetic [E1] hemochromatosis [\\E1] and histocompatibility loci became even more so when the gene involved HFE was identified Indeed within the well defined mainly peptide binding MHC class I family of molecules HFE seems to perform an unusual yet essential function As yet', 'mention_data': {'kb_id': 'D006432', 'candidates': ['D006432', 'C579887', 'C007955', 'C537249', 'D006486', 'D006491', 'D018056', 'C001332', 'C536394', 'C566557', 'C537247', 'C537248', 'D006470', 'D006410', 'D051516', 'D006487', 'C535858', 'C565801', 'D006405', 'D006391', 'D019337', 'C537254', 'D006488', 'D006468', 'D006431', 'D006402', 'D006406', 'D006392', 'D059165', 'D006474', 'D051359', 'D020786', 'C567034', 'D002832', 'D006400', 'D006485', 'D008216', 'D000747', 'C562937', 'C016485', 'C507620', 'D006394', 'D000080365', 'D018216', 'C000719204', 'D057898', 'C101983', 'D006483', 'D006384', 'C455135', 'D006461', 'D006484', 'D000072837', 'C563215', 'D020138', 'C000650842', 'D030243', 'C064141', 'D000071020', 'D019106', 'D006424', 'C055960', 'D006411', 'D018325']}}
{'text': 'system To advance on both of these avenues we report the deletion of HFE alpha1 and alpha2 putative ligand binding domains in vivo HFE deficient animals were analyzed for a comprehensive set of metabolic and immune parameters Faithfully mimicking human [E1] hemochromatosis [\\E1] mice homozygous for this deletion develop iron overload characterized by a higher plasma iron content and a raised transferrin saturation as well as an elevated hepatic iron load The primary defect could indeed be traced to an augmented duodenal', 'mention_data': {'kb_id': 'D006432', 'candidates': ['D006432', 'D006486', 'C579887', 'D006487', 'D006491', 'D018056', 'C007955', 'D006470', 'D006410', 'D051516', 'D006488', 'C001332', 'C537249', 'C536394', 'C535858', 'C565801', 'D006405', 'D006431', 'D000747', 'C537254', 'C566557', 'D006468', 'D006391', 'D006474', 'C537248', 'C537247', 'D059165', 'D019337', 'D006402', 'D006461', 'D002832', 'C562937', 'D006464', 'D006485', 'D020138', 'D006406', 'D020786', 'D006400', 'D006392', 'D019190', 'C567034', 'D051359', 'C507620', 'D010007', 'D006483', 'D000072837', 'D000097545', 'D020141', 'D006424', 'D012771', 'D006411', 'D006394', 'D016558', 'D019106', 'D018216', 'D006395', 'D008216', 'D000080365', 'C563478', 'C563007', 'D006484', 'D018496', 'D057898', 'C565522']}}
{'text': 'heterozygotic carriers of the defect Gd frequency calculated from the data obtained 7 7 may be compared to neighbouring regions frequencies 6 30 Carriers of G6PD deficiency are residents of 11 villages located in Alasani Aphtalan valley highly endemic with [E1] malaria [\\E1] in the past nearly all marriages are endogamic Physico chemical and kinetic study of 10 mutant forms of G6PD according to WHO program led to identification of 5 variants of the II class Shekii Bideiz Shirin Bulakh Okhut I', 'mention_data': {'kb_id': 'D008288', 'candidates': ['D008288', 'D016779', 'D008289', 'D016778', 'C531736', 'D016780', 'D010271', 'D010272', 'D014330', 'D000349', 'D000096724', 'D010965', 'D013122', 'D014399', 'D000758', 'D007328', 'D000771', 'C484565', 'D010273', 'D018512', 'D020306', 'D010930', 'D009187', 'D010274', 'D000079685', 'D004194', 'D019353', 'C484564', 'D014688', 'D004403', 'D003141', 'Q000469', 'C031758', 'D000772', 'C058172', 'D014115', 'D007046', 'D013118', 'D014391', 'D008585', 'D004749', 'C006908', 'D014376', 'C030808', 'D004199', 'D013568', 'D001447', 'C075300', 'D001170', 'C567233', 'D007898', 'D007239', 'D007275', 'D016640', 'D000740', 'C000006', 'D018681', 'D061605', 'D004605', 'D008581', 'D017282', 'D010148', 'D012876', 'D013622']}}
{'text': 'Linkage of DNA markers at Xq28 to [E1] adrenoleukodystrophy [\\E1] and adrenomyeloneuropathy present within the same family We present a large kindred that contained patients with either adrenoleukodystrophy ALD or adrenomyeloneuropathy AMN The pedigree clearly supported the X linked mode of inheritance of the nonneonatal form of ALD/AMN Analysis', 'mention_data': {'kb_id': 'D000326', 'candidates': ['D000326', 'C566813', 'C538051', 'D052497', 'C565361', 'C564344', 'C535979', 'C535978', 'C564983', 'D052496', 'D008060', 'C564095', 'C565506', 'C565505', 'C538220', 'C537385', 'C567642', 'C538190', 'C538237', 'C567311', 'C535668', 'C563378', 'C567709', 'C563716', 'C565748', 'C563844', 'C567390', 'C537027', 'C567708', 'C564691', 'C567282', 'C567166', 'C567313', 'C564097', 'C564283', 'C538236', 'C567314', 'D000312', 'C565591', 'C564985', 'C537742', 'C563276', 'C566369', 'C564317', 'C566392', 'C535734', 'D009136', 'C564669', 'C565976', 'D020388', 'C563554', 'C563855', 'D050171', 'C536170', 'D039682', 'C564923', 'C566130', 'D014808', 'C566640', 'C564568', 'D010004', 'C562711', 'C563247', 'C580039']}}
{'text': 'Linkage of DNA markers at Xq28 to adrenoleukodystrophy and adrenomyeloneuropathy present within the same family We present a large kindred that contained patients with either [E1] adrenoleukodystrophy [\\E1] ALD or adrenomyeloneuropathy AMN The pedigree clearly supported the X linked mode of inheritance of the nonneonatal form of ALD/AMN Analysis with DNA markers at Xq28 suggested segregation of both ALD and AMN with an identical haplotype This indicated', 'mention_data': {'kb_id': 'D000326', 'candidates': ['D000326', 'C566813', 'C538051', 'C564344', 'C565361', 'C538220', 'D052497', 'C535979', 'C564095', 'C567311', 'C535978', 'C564983', 'D008060', 'C537385', 'C565505', 'D052496', 'C565506', 'C538237', 'C538190', 'C567390', 'C567642', 'C537027', 'C567313', 'C563378', 'C567166', 'C535668', 'C563716', 'C567709', 'C563844', 'C567708', 'C565748', 'C567314', 'C564923', 'C564985', 'C535734', 'D009136', 'C564097', 'C567282', 'D020388', 'D000312', 'C564691', 'C538236', 'C563855', 'C563554', 'C563276', 'C565976', 'C566369', 'D003680', 'C537742', 'C563247', 'C564317', 'D020391', 'C564283', 'C564568', 'C566392', 'C562711', 'D004420', 'C565591', 'C563478', 'C566130', 'C564669', 'C537998', 'C531607', 'C536481']}}
{'text': 'The murine homologues of the [E1] Huntington disease [\\E1] gene Hdh and the alpha adducin gene Add1 map to mouse chromosome 5 within a region of conserved synteny with human chromosome 4p16 3 Huntington disease HD is a severe autosomal dominant neurodegenerative disorder associated with a novel gene', 'mention_data': {'kb_id': 'D006816', 'candidates': ['D006816', 'C580174', 'C535525', 'C565747', 'C535483', 'C564708', 'C537306', 'C537900', 'C566398', 'C536203', 'C535463', 'D044904', 'C566210', 'D020739', 'D000544', 'C536567', 'D018901', 'C564773', 'C563501', 'D010300', 'C537937', 'D020271', 'D000312', 'D006250', 'C536109', 'C536730', 'C581942', 'D030342', 'C536481', 'C579754', 'C562664', 'D014515', 'C538637', 'C537470', 'D029461', 'C538139', 'C565359', 'C535979', 'D000690', 'C537568', 'D015211', 'C537684', 'C536006', 'C537497', 'D005882', 'C536380', 'C537526', 'C564977', 'C537137', 'D014522', 'C536693', 'D000091642', 'C565768', 'C538136', 'D007674', 'C535307', 'C537047', 'D003920', 'D006623', 'C562864', 'D006402', 'C538523', 'C537573', 'D000686']}}
{'text': 'The murine homologues of the Huntington disease gene Hdh and the alpha adducin gene Add1 map to mouse chromosome 5 within a region of conserved synteny with human chromosome 4p16 3 [E1] Huntington disease [\\E1] HD is a severe autosomal dominant neurodegenerative disorder associated with a novel gene IT15 Recently we reported the cloning of Hdh the murine homologue of IT15 Here using an interspecific backcross we have mapped both Hdh and the mouse', 'mention_data': {'kb_id': 'D006816', 'candidates': ['D006816', 'C580174', 'C535525', 'C565747', 'C564708', 'C566210', 'D000544', 'C564773', 'C535483', 'C566398', 'D010300', 'D044904', 'C536203', 'C563501', 'D020739', 'C535463', 'D020271', 'C537306', 'C537943', 'D000312', 'C535979', 'D018901', 'C536380', 'C537937', 'C562664', 'C536481', 'C537684', 'C537900', 'C538170', 'D019636', 'C000730394', 'C538139', 'C536109', 'C537470', 'D000690', 'C538136', 'C537047', 'C536730', 'C538254', 'D014515', 'D014522', 'C538075', 'C535662', 'D004402', 'C565359', 'C580039', 'C538637', 'C537568', 'C535658', 'D002526', 'D013896', 'D000307', 'C579754', 'D029461', 'C564622', 'D000686', 'C565768', 'C537137', 'C566444', 'D015211', 'D006960', 'C535978', 'C538052', 'D020967']}}
{'text': 'Linkage analysis of the apolipoprotein C2 gene and [E1] myotonic dystrophy [\\E1] on human chromosome 19 reveals linkage disequilibrium in a French Canadian population The gene for human apolipoprotein C2 APOC2 situated on the proximal long arm of chromosome 19 is closely linked to the gene for the most common form', 'mention_data': {'kb_id': 'D009223', 'candidates': ['D009223', 'C564967', 'C536245', 'C536096', 'D009224', 'C563535', 'D020967', 'D013796', 'C564095', 'D009222', 'D053578', 'C563345', 'D002527', 'C563716', 'C563558', 'C562907', 'D020191', 'C566527', 'C563589', 'D020388', 'C564983', 'C565786', 'C536106', 'D056768', 'C538128', 'C563775', 'C535734', 'C564317', 'D000081030', 'C563554', 'D065636', 'C567709', 'C566599', 'D009136', 'C563844', 'C538002', 'C563854', 'C566912', 'C537384', 'C564970', 'C538190', 'C565505', 'C566844', 'C563550', 'D019150', 'C564096', 'C566968', 'C564425', 'C535906', 'C563378', 'C567708', 'C536506', 'C567282', 'C535726', 'C535955', 'C565361', 'C566370', 'C564819', 'C564612', 'C564093', 'C566514', 'C565506', 'C564974', 'C536508']}}
{'text': '19 reveals linkage disequilibrium in a French Canadian population The gene for human apolipoprotein C2 APOC2 situated on the proximal long arm of chromosome 19 is closely linked to the gene for the most common form of adult muscular dystrophy [E1] myotonic dystrophy [\\E1] DM Six APOC2 RFLPs TaqI BglI BanI BamHI NcoI and AvaII have been identified to date We have conducted a comprehensive DM linkage study utilizing all six RFLPs and involving 50 families and 372 individuals The most informative RFLPs', 'mention_data': {'kb_id': 'D009223', 'candidates': ['D009223', 'C564967', 'D009224', 'D009222', 'D020967', 'C564095', 'C536245', 'C563535', 'C536096', 'C563345', 'C563589', 'C536106', 'C563854', 'D002527', 'C566599', 'D013796', 'C566912', 'D020914', 'D009136', 'C566527', 'C566968', 'C564612', 'C564425', 'C564093', 'C535906', 'D000081030', 'D053578', 'D020191', 'C563558', 'C567468', 'C566370', 'C567469', 'C563550', 'C564983', 'C565786', 'C563716', 'D065636', 'C563362', 'D009207', 'C564096', 'C564974', 'C566896', 'C535734', 'C562907', 'C563554', 'C563247', 'C563775', 'C566147', 'C566844', 'C566514', 'C565505', 'C564971', 'C564317', 'C564017', 'C563844', 'C537384', 'C538190', 'C564970', 'C535900', 'D020388', 'C538128', 'C536102', 'C564819', 'C567708']}}
{'text': 'A retrospective anonymous pilot study in screening newborns for HFE mutations in Scandinavian populations We have retrospectively analyzed 837 random anonymized dried blood spot DBS samples from neonatal screening programs in Scandinavia for mutations in HFE the candidate gene for [E1] hemochromatosis [\\E1] We have found C282Y allele frequencies of 2 3 2 0 1 3 in Greenland 4 5 / 1 9 in Iceland 5 1 / 2 3 in the Faeroe Islands and 8 2 / 2 7 in Denmark', 'mention_data': {'kb_id': 'D006432', 'candidates': ['D006432', 'C579887', 'C007955', 'C537249', 'D006491', 'C536394', 'D006486', 'C566557', 'D051516', 'C001332', 'C535858', 'C537247', 'C537248', 'C537254', 'C565801', 'D018056', 'D006470', 'C567034', 'D006410', 'D018216', 'D006431', 'D006391', 'D008216', 'D006487', 'C507620', 'D006488', 'C455135', 'D000080365', 'D006468', 'D006405', 'D020786', 'D006392', 'C562937', 'D000747', 'C536068', 'D006485', 'D006483', 'C000719204', 'D002832', 'C016485', 'D030243', 'C101983', 'D002836', 'D006402', 'D051359', 'C562438', 'D006474', 'D006394', 'D019337', 'D020138', 'C064141', 'C581942', 'C068677', 'C088771', 'D010007', 'C003001', 'D017488', 'C535861', 'C537914', 'C052235', 'C563215', 'D006395', 'D057898', 'D004684']}}
{'text': 'the diagnosis of Li Fraumeni syndrome we analyzed the mutation pattern of TP53 P57KIP2 P15INK4B and P16INK4A in the peripheral blood and loss of heterozygosity homo/hemizygous deletion pattern of TP53 and P15INK4B/P16INK4A in two tumor tissues The propositus had a [E1] seminoma [\\E1] his daughter a medulloblastoma and one of his healthy cousins a TP53 codon 292 missense point mutation AAA ATA Lys Ile in the peripheral blood cells Tumor tissue obtained from the propositus with the seminoma revealed loss of heterozygosity', 'mention_data': {'kb_id': 'D018239', 'candidates': ['D018239', 'D013724', 'D006099', 'D008545', 'D005910', 'C563972', 'D002804', 'D018365', 'D005350', 'D015408', 'D018219', 'D013945', 'D018226', 'D010871', 'D009442', 'D004379', 'D009810', 'C563971', 'D002280', 'D012594', 'C567685', 'D001984', 'D009837', 'D009808', 'D009447', 'D010051', 'D012004', 'C562731', 'D018299', 'D009455', 'C565777', 'D008223', 'D002277', 'C563456', 'D009959', 'D018315', 'D003230', 'D013160', 'D018278', 'C566039', 'D015179', 'D017169', 'D016609', 'D014571', 'D015050', 'D000077216', 'D009381', 'D009303', 'C537296', 'D010016', 'C537844', 'D009378', 'D018275', 'D053584', 'C009233', 'D018214', 'D018229', 'D009369', 'D051642', 'D010039', 'D014565', 'D012516', 'D012607', 'D014594']}}
{'text': 'Fraumeni syndrome we analyzed the mutation pattern of TP53 P57KIP2 P15INK4B and P16INK4A in the peripheral blood and loss of heterozygosity homo/hemizygous deletion pattern of TP53 and P15INK4B/P16INK4A in two tumor tissues The propositus had a seminoma his daughter a [E1] medulloblastoma [\\E1] and one of his healthy cousins a TP53 codon 292 missense point mutation AAA ATA Lys Ile in the peripheral blood cells Tumor tissue obtained from the propositus with the seminoma revealed loss of heterozygosity in the TP53 gene', 'mention_data': {'kb_id': 'D008527', 'candidates': ['D008527', 'D018215', 'C000680378', 'D018238', 'D008204', 'D032386', 'C564655', 'D047708', 'D018299', 'D001254', 'D032446', 'D005142', 'C538714', 'D008202', 'D005909', 'D018318', 'C000685271', 'D055535', 'C526783', 'D018305', 'C563256', 'D002311', 'D032448', 'D005901', 'D002051', 'C460107', 'D005706', 'D010006', 'C564523', 'C492154', 'C000726063', 'D000094602', 'C579880', 'C000642402', 'D001935', 'C538333', 'C572779', 'C580202', 'D012175', 'C536361', 'D018319', 'C535480', 'C098617', 'C566452', 'C537558', 'C536134', 'C537799', 'C563345', 'C000676991', 'C536428', 'C515835', 'D018192', 'D019337', 'C037582', 'D000072656', 'D005134', 'C492160', 'C535735', 'D018325', 'D018214', 'D013916', 'D006391', 'C537557', 'C536089']}}
{'text': 'tissues The propositus had a seminoma his daughter a medulloblastoma and one of his healthy cousins a TP53 codon 292 missense point mutation AAA ATA Lys Ile in the peripheral blood cells Tumor tissue obtained from the propositus with the [E1] seminoma [\\E1] revealed loss of heterozygosity in the TP53 gene In the analyses of tumor tissues from the propositus and his daughter a P16INK4A codon 94 missense point mutation GCG GAG Ala Glu was observed with the hereditary TP53 mutation P16INK4A', 'mention_data': {'kb_id': 'D018239', 'candidates': ['D018239', 'D013724', 'D006099', 'D005910', 'D009442', 'C562731', 'D008545', 'D009837', 'D002804', 'C009233', 'D009455', 'C563972', 'D018315', 'D005350', 'D010871', 'D018219', 'D018365', 'D004379', 'D013945', 'D009447', 'D018226', 'D009810', 'D015408', 'C567685', 'D008080', 'D012594', 'D012004', 'D053584', 'D006104', 'C565777', 'D009808', 'C563971', 'C562472', 'C563456', 'C566039', 'D008067', 'C537844', 'D012516', 'D010051', 'D015179', 'D008223', 'D002280', 'D051642', 'D001984', 'D013005', 'D014345', 'D017169', 'D003230', 'D000077216', 'D009381', 'D013160', 'C537296', 'C538459', 'D009959', 'D004820', 'D018278', 'D016609', 'C562841', 'D010016', 'D015266', 'D001935', 'D018296', 'D010039', 'D005909']}}
{'text': 'is a novel mutation in Li Fraumeni syndrome No other gene alteration in TP53 P57KIP2 P15INK4B and P16INK4A was observed Existence of the P16INK4A mutation and the hereditary TP53 mutation with or without loss of heterozygosity in the TP53 gene [E1] seminoma [\\E1] /medulloblastoma may be evidence for a common mechanism involved in tumorogenesis The gene alterations in TP53 and P16INK4A genes may be used as tumor markers in our family', 'mention_data': {'kb_id': 'D018239', 'candidates': ['D018239', 'D005910', 'D006099', 'D013724', 'D018315', 'D009455', 'D018219', 'D002804', 'D005350', 'D010871', 'D009447', 'D009442', 'D005909', 'D009837', 'D008545', 'C563972', 'D012594', 'D004379', 'D013945', 'D051642', 'D018365', 'D018226', 'D009810', 'D018214', 'D018299', 'D013005', 'D002280', 'D012516', 'D018278', 'C009233', 'D017169', 'D008223', 'C565777', 'D009808', 'D016115', 'D008228', 'D002277', 'C567685', 'D016609', 'C563971', 'C563456', 'D009381', 'D001984', 'D004820', 'D015408', 'D051677', 'D018303', 'D009303', 'D006104', 'C566039', 'D010051', 'C537844', 'D047708', 'D000077216', 'D015179', 'D004806', 'C562731', 'D012607', 'D012175', 'D010016', 'D018319', 'D017599', 'D009378', 'C538459']}}
{'text': 'a novel mutation in Li Fraumeni syndrome No other gene alteration in TP53 P57KIP2 P15INK4B and P16INK4A was observed Existence of the P16INK4A mutation and the hereditary TP53 mutation with or without loss of heterozygosity in the TP53 gene seminoma/ [E1] medulloblastoma [\\E1] may be evidence for a common mechanism involved in tumorogenesis The gene alterations in TP53 and P16INK4A genes may be used as tumor markers in our family', 'mention_data': {'kb_id': 'D008527', 'candidates': ['D008527', 'D018215', 'D005909', 'D018238', 'D047708', 'D010006', 'D008204', 'D018299', 'D005910', 'D018318', 'D002051', 'D032386', 'C000680378', 'D018315', 'D018325', 'D018316', 'C000685271', 'D032446', 'C538229', 'D018319', 'D018219', 'D055535', 'D001935', 'D032448', 'C535480', 'D018305', 'D001254', 'D019337', 'C000676991', 'D005901', 'C563256', 'C538714', 'D008202', 'C572779', 'D005142', 'C563345', 'C492154', 'C526783', 'C566452', 'C462219', 'D018223', 'D020852', 'D006394', 'D018214', 'D012279', 'D012175', 'D010871', 'D013736', 'D009455', 'C579880', 'C563276', 'D001661', 'C563065', 'D002311', 'C564655', 'D062689', 'D006391', 'C000726063', 'D018220', 'C000624627', 'C538333', 'D009837', 'D000077733', 'C562399']}}
{'text': 'Eight novel inactivating germ line mutations at the APC gene identified by denaturing gradient gel electrophoresis Familial adenomatous polyposis FAP is a dominantly inherited condition predisposing to colorectal cancer The recent isolation of the responsible gene [E1] adenomatous polyposis coli [\\E1] or APC has facilitated the search for germ line mutations in affected individuals Previous authors have used the RNase protection assay and the single strand conformation polymorphisms procedure to screen for mutations In this study we used denaturing gradient', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'D025601', 'C563924', 'C090876', 'C562730', 'C061075', 'C000613192', 'D018262', 'C062351', 'C563250', 'C407009', 'C018446', 'D008949', 'C524259', 'C048567', 'C017991', 'D000238', 'C022571', 'C018444', 'C045650', 'C000645531', 'C016964', 'C018775', 'C049300', 'C030812', 'C526457', 'C022570', 'C011626', 'C010840', 'C000623798', 'C542391', 'C055772', 'C031511', 'C053244', 'C520193', 'C027800', 'C017990', 'C018445', 'C079777', 'C503443', 'C401161', 'C538265', 'C030359', 'C079634', 'C026520', 'C032451', 'C111578', 'D017491', 'C053243', 'C000671802', 'C015651', 'C010671', 'C465815', 'C566310', 'C439352', 'C019603', 'C519454', 'C044618', 'C082736', 'C000647324', 'C523383', 'C406809']}}
{'text': 'Novel mutations in XLRS1 causing [E1] retinoschisis [\\E1] including first evidence of putative leader sequence change Juvenile retinoschisis is an X linked recessive disease caused by mutations in the XLRS1 gene We screened 31 new unrelated patients and families for XLRS1 mutations in addition to previously reported', 'mention_data': {'kb_id': 'D041441', 'candidates': ['D041441', 'C000598640', 'C538369', 'C564838', 'C566713', 'D012175', 'D012173', 'C563527', 'C564839', 'D012178', 'C566711', 'D000087505', 'C537610', 'D020529', 'D003930', 'D058437', 'C505677', 'C564840', 'D012174', 'C565741', 'D015792', 'C538361', 'D058499', 'D012162', 'C033565', 'C567369', 'C000656924', 'D012176', 'C567442', 'C564844', 'C535296', 'C414582', 'C023421', 'C567264', 'C564841', 'D014212', 'C563710', 'C567595', 'C529924', 'C022767', 'D012164', 'C073343', 'D012061', 'C000644366', 'C000722572', 'C531869', 'C563806', 'C038255', 'C566720', 'C535030', 'D042262', 'C074994', 'D000075665', 'D020818', 'D015518', 'C000650409', 'D011935', 'C022520', 'D045262', 'C564842', 'C022521', 'D056769', 'C564847', 'D012172']}}
{'text': 'leader sequence change Juvenile retinoschisis is an X linked recessive disease caused by mutations in the XLRS1 gene We screened 31 new unrelated patients and families for XLRS1 mutations in addition to previously reported mutations for 60 of our families [E1] Retinoschisis [\\E1] Consortium Hum Mol Genet 1998 7 1185 1192 Twenty three different mutations including 12 novel ones were identified in 28 patients Mutations identified in this study include 19 missense mutations two nonsense mutations one intragenic deletion four microdeletions one', 'mention_data': {'kb_id': 'D041441', 'candidates': ['C000598640', 'D041441', 'C538369', 'C564838', 'C566713', 'C023421', 'C505677', 'D012175', 'D012176', 'C529924', 'C038255', 'C073343', 'C537610', 'C414582', 'C033565', 'C563527', 'C014794', 'C026787', 'C035166', 'C067553', 'C022767', 'C496908', 'C505678', 'C026296', 'C531869', 'D042262', 'C564839', 'C546472', 'C535030', 'C022521', 'C022520', 'D014212', 'C057861', 'C566711', 'C030628', 'D012173', 'D012172', 'D012174', 'C042067', 'C412732', 'C054441', 'C564840', 'C074994', 'D058437', 'C000674344', 'D003930', 'C000644366', 'C077124', 'C000722572', 'C067655', 'C567369', 'C067657', 'C567595', 'C000665096', 'C119692', 'C000606247', 'D015792', 'D012178', 'C564844', 'C538361', 'C566720', 'D012160', 'C563710', 'C100603']}}
{'text': 'Prenatal diagnosis of [E1] Wolman disease [\\E1] Two pregnancies at risk for Wolman disease were monitored by assay and electrophoresis of acid lipase in cultured amniotic fluid cells Cells from patient 1 had 5 of control levels of acid lipase using 14C triolein as substrate however', 'mention_data': {'kb_id': 'D015223', 'candidates': ['D015223', 'C536567', 'C536739', 'D010049', 'C562924', 'C536693', 'C536528', 'C536696', 'D007818', 'D014845', 'C537718', 'C535874', 'C536751', 'C536694', 'C579754', 'C535810', 'D014842', 'D012466', 'D008232', 'C536275', 'D014623', 'D014515', 'C536457', 'C536299', 'D000072281', 'C537738', 'D008193', 'D020163', 'C567156', 'C562901', 'D020421', 'C537415', 'D006816', 'C537168', 'C537740', 'C536990', 'C000730747', 'C566210', 'D010038', 'C536292', 'D014591', 'C567815', 'C567089', 'D006058', 'C536697', 'C537490', 'D014522', 'D000077684', 'C538011', 'C538678', 'D017624', 'D008206', 'D000307', 'C537876', 'C537047', 'D053447', 'C567452', 'C563477', 'D009302', 'C566502', 'C536393', 'C565428', 'D008180', 'C564935']}}
{'text': 'Prenatal diagnosis of Wolman disease Two pregnancies at risk for [E1] Wolman disease [\\E1] were monitored by assay and electrophoresis of acid lipase in cultured amniotic fluid cells Cells from patient 1 had 5 of control levels of acid lipase using 14C triolein as substrate however when artificial substrates esters of 4 methylumbelliferone', 'mention_data': {'kb_id': 'D015223', 'candidates': ['D015223', 'C536567', 'C536739', 'C536528', 'C562924', 'C536696', 'D010049', 'C536693', 'C535810', 'C536751', 'C579754', 'D014845', 'D007818', 'C535874', 'D014842', 'C536275', 'C537168', 'C536299', 'C537718', 'C000730747', 'C536694', 'C566210', 'C536990', 'C536457', 'C537738', 'C537849', 'C562901', 'C537415', 'D010038', 'D014515', 'D020163', 'C536393', 'C536292', 'D008232', 'D012466', 'C567089', 'D014899', 'C537740', 'C537289', 'C537490', 'D008193', 'D006816', 'C567156', 'C537047', 'D009302', 'D008180', 'C538011', 'D020421', 'D012216', 'D017624', 'D000088102', 'C537742', 'C536461', 'C537036', 'D020852', 'C535944', 'D000307', 'D014623', 'D006623', 'C537255', 'D000072281', 'C537876', 'D000090862', 'D006111']}}
{'text': 'substrates esters of 4 methylumbelliferone and p nitrophenol were used to measure acid lipase these cells had 30 of control levels Electrophoresis of cell extracts revealed the absence of the A form of acid lipase consistent with the diagnosis of [E1] Wolman disease [\\E1] Analysis of fetal tissues following prostaglandin termination of this pregnancy confirmed the diagnosis Assay of fetal skin fibroblasts with 14C triolein as well as with artificial substrates showed marked deficiency of acid lipase activity Electrophoresis of fetal tissue extracts', 'mention_data': {'kb_id': 'D015223', 'candidates': ['D015223', 'C536567', 'C536739', 'C562924', 'D010049', 'C536528', 'C536693', 'D014845', 'C579754', 'C535810', 'C536696', 'C536751', 'C535874', 'D014842', 'D014623', 'C536694', 'C535944', 'C538011', 'D007818', 'D020421', 'C537168', 'D012466', 'C537718', 'C537740', 'D020163', 'D006816', 'C537738', 'D008180', 'D008232', 'D000072281', 'C537047', 'D006058', 'C536275', 'D014515', 'C536299', 'C536393', 'D014591', 'D014899', 'C567156', 'C536461', 'D006623', 'D012757', 'D000307', 'D014522', 'D004200', 'D009302', 'C000730747', 'C536457', 'D000077684', 'C566210', 'D056784', 'C562901', 'C564034', 'D010922', 'D017624', 'C536990', 'D006111', 'C567815', 'C536292', 'D008193', 'C567452', 'C536697', 'C537742', 'C537490']}}
